asin,body_snippet,num_public_reviews,num_reviews,prod_name,profile_id,profile_name,profile_url,review_date,review_title,stars
B075GKYVSZ,"
Work perfectly. Lightweight. Have held up for a long time
",7,8,"
Labvon Bluetooth Noise Cancelling Headphones
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2018-01-12 21:10:50,Five Stars,5
B078NX3PMG,"
I wanted this headset to use under my motorcycle helmet with my satnav. Care is required taking the helmet on and off but once in place is very comfortable and I've worn mine most of the day withou...
",7,8,"
(New Version) Bluetooth Headset V4.1, Seed Wireless Bluetooth Earpiece Noise Reduction, and Mute Switch for Business/Driving/Exercise
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2018-01-12 04:38:55,"Very comfortable, lightweight and stylish.",5
B078H84K6J,"
Was dubious about the quality but am assured by recipient that the base is good
",7,8,"
Portable Wireless Bluetooth Speakers - Black
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2018-01-09 20:48:27,Surprisingly Good,5
B075V14MGM,"
Gave out as x/ mad presents and they were complemented on very well
",7,8,"
Kimitech Smart LED Light Bulb One
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2018-01-06 20:38:02,Five Stars,5
B076J8VS5Z,"
Slim and it does the job of protecting the phone not bulky like OTTER. Perfect for office workers not for outdoor workers, if you work outdoors get the OTTER!I am impressed and surprised about how ...
",7,8,"
MASCHERI For Galaxy S8 Plus Case Rugged Shockproof Heavy Duty Protective Dual Layer Armor Hybrid Defender Back Case Cover for Samsung Galaxy S8 Plus 03
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2018-01-03 20:35:22,... does the job of protecting the phone not bulky like OTTER. Perfect for office workers not for outdoor ...,5
B076CYTB48,"
So far, good. Phone calls are clear on both sides. I purchased a similar pair (hippox) that failed after one charge. If I have any problems, I will contact you. Thanks
",7,8,"
Kimitech Bluetooth Headphone,Superb Sweatproof,Noise cancelling Best Wireless Sports Earphones for Outdoor Working 8 hours Activity
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2017-11-30 11:30:46,good. Phone calls are clear on both sides,5
B0756YXM7H,"
I'm seriously happy with this purchase. Awesome adapter with great sound quality.
",7,8,"
2 in 1 Lightning for iPhone 7 / iphone 7 Plus Adapter and Charger, Lightning to 3.5mm Aux Headphone Jack and Charger Cable for iPhone 7 / 7 plus[No Music Control] - (Rose Gold)
",AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ,Annie Williams,/gp/profile/amzn1.account.AFHGJDPGIUHCJWYHKJ5MWMTHPYBQ/,2017-09-07 05:57:41,Five Stars,5
B0798MBCHV,"
So far these headphones are great. I purchased them to use with my Samsung TV so that I could listen without disturbing my wife and children when they are sleeping. Headphones paired to TV quickly....
",6,9,"
Kimitech Bluetooth Headphones Over Ear Hi-Fi (new black)
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-02-10 16:39:41,Good Headphones Great Price,5
B079FTMQBZ,"
Works well. Ear readings are quick and simple, Forehead readings are easy once you learn the proper technique. I am pleased with my purchase.
",6,9,"
Kimitech Ear Thermometer Infrared Thermometer (123)
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-02-07 16:24:27,My New Thermometer,5
B0796R5TLP,"
Good sound. They pair easily. They feel like they are well made only time will tell
",6,9,"
Labvon Over Ear Headphones -Foldable Stereo Sound Wired Wireless Bluetooth Headsets Hand Free Calling with Microphones portable (black)
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-02-04 16:17:36,Meow Bluetooth headphones,5
B0796RDXKJ,"
Really nice sound quality and comfortable to wear.
",6,9,"
Kimitech 3D Pen
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-01-29 05:40:33,Recommend,5
B0795JZ58K,"
good brightness and battery life
",6,9,"
Kimitech Bicycle Light
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-01-20 05:14:54,Five Stars,5
B0795MKPGV,"
Love the bottle because it is easy to clean and leaking prevention.
",6,9,"
Kimitech Travel Mug Stainless 1
",AG6FCJXJVO36AZYFABV42VB5BXJQ,Rodney Martin,/gp/profile/amzn1.account.AG6FCJXJVO36AZYFABV42VB5BXJQ/,2018-01-11 04:26:08,Five Stars,5
B079JVH9JM,"
Not much about these chargers. I like the different colors and can not beat the price I have washed 3 times inadvertently 3 times and it still works like a dream. I do not think I paid enough for t...
",9,11,"
Lightning Cable iPhone ChargerNylon Braided Charging Cable USB Charger Cable for Apple iPhone X/8/7/7 Plus(50PACK)
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-02-07 13:55:26,"Great USB chargers, great price!",5
B079PXH8LD,"
We got this for our teenage son. He tends to be rough on electronics, and cords are no exception. Based on the reviews we chose this as a replacement for his phone charger. There have been no disap...
",9,11,"
SEENFAAN Lightning Adapter Cable Charge and Headphone Splitter(19PACK)
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-27 05:07:57,These are so far the best cables I've bought for an phone,5
B079DQW6NR,"
Excellent lightning cable is short enough for a long time, the cable is covered with a popular car charging. Color can also easily find / divide other cables. It continues to work, i like it very m...
",9,11,"
iPhone 7/7Plus Adapter Headphone Jack 2PACK ,AIMIGAO Lightning to 3.5 mm Headphone Jack Adapter for iPhone 7/7 Plus Accessories(10PACK)
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-26 23:52:04,High quality lightning rod,5
B079DRXGXT,"
The best product! After breaking the screen, put it on my cellphone a few months ago. Put down the phone today. Too frustrated, because I think the glass is broken. No! Screen saver cracked. The ph...
",9,11,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector 5c Metallic84
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-25 22:56:52,Love it!,5
B079DQJCWQ,"
Great cord. I use these in the car very durable and great build. Ordered these after ordering a pair of Sentey? cables that only lasted about 3 weeks before the connection wore down.
",9,11,"
Power lightning protection cable, 3 packs 1FT 2FT 3FT nylon iPhone charger cable USB charging cable iPhone X Gold96
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-25 06:37:38,Good service,5
B078J4W16R,"
After getting the correct size plastic end on the headphones they sat perfectly snug in my ear and the sound quality is pretty dang decent for the asking price. Perfect, my dude.
",9,11,"
Mxstudio Sports Earphones with Ear Hooks In Ear Headphones with Microphone dark green
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-03 05:03:03,Not too shabby.,5
B076HW4RWW,"
Very happy with the device, prompt delivery too.
",9,11,"
【NEW】Bluetooth Headset V4.1,Candeo Wireless Business Earpiece Trucker In-Ear Earbuds Headphones with Noise Reduction Mute Switch,Hands Free w/Mic for Office/Business/Workout/Driver/Trucker-Yellow
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2018-01-01 23:04:44,Five stars,5
B077ZMQXQY,"
I have just recently received this item and I must say that I am impressed so far, I bought this as one of my friends uses it and he is crystal clear wheel call him. I have went through many of the...
",9,11,"
Bluetooth Headset Smallest GSPON In Ear Car Headphone with Mic Mini Invisible Wireless Bluetooth Earpiece Sweat Proof Long Battery Life 6H Playtime Earbud
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2017-12-11 18:52:36,Good purchase,5
B076CYTB48,"
I'm a college student and I love them! Super comfortable! Sound is amazing! And price is more than fair! Not to mention all the extras they come with. And this is all coming from a guy with a $700 ...
",9,11,"
Kimitech Bluetooth Headphone,Superb Sweatproof,Noise cancelling Best Wireless Sports Earphones for Outdoor Working 8 hours Activity
",AGE5T3ZOVLYCE2OJLYWP5PMB3OGA,Annette Morales,/gp/profile/amzn1.account.AGE5T3ZOVLYCE2OJLYWP5PMB3OGA/,2017-12-04 16:16:33,THE BEST!,5
B0798MBCHV,"
Good sound good fit
",9,13,"
Kimitech Bluetooth Headphones Over Ear Hi-Fi (new black)
",AGMPW4UCM2PALQHMRYOHIQ7ADAIA,Elaine Weaver,/gp/profile/amzn1.account.AGMPW4UCM2PALQHMRYOHIQ7ADAIA/,2018-02-10 13:13:21,Five Stars,5
B0796RDXKJ,"
These are AWESOME for $35. They sound OK. They initially sounded a little flat, but I don't really care about sound quality. These have nice 40mm drivers, they sound decent, people can hear me good...
",9,13,"
Kimitech 3D Pen
",AGMPW4UCM2PALQHMRYOHIQ7ADAIA,Elaine Weaver,/gp/profile/amzn1.account.AGMPW4UCM2PALQHMRYOHIQ7ADAIA/,2018-02-04 12:52:20,"AWESOME headphones for under $40. HIGHLY RECOMMEND. Good Sound, Good Quality, SUPERB VALUE.",5
