asin,body_snippet,num_public_reviews,num_reviews,prod_name,profile_id,profile_name,profile_url,review_date,review_title,stars
B079N9ZPB5,"
Very clear directions which also include a  on how to properly place this shield onto the phone. This is a pack of , which included  of everything but the microfiber cloth and the bubble remover. T...
",10,35,"
Screen Protector,[Bubble-Free] 123D HD Screen Protector Fit Touch Accurate with Easy to Install For OPPO R7 Plus ivory12
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-11 03:58:19,solid  protector,5
B079NMMBJR,"
Love these! Dropped my phone with one installed and it saved my screen from cracking! Unfortunately, I didn't replace the damaged shield and dropped my phone again. Yup, you guessed it, I broke my ...
",10,35,"
Screen Protector,[Bubble-Free] 113D HD Screen Protector Fit Touch Accurate with Easy to Install For OPPO R7 Plus palevioletred12
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 15:13:35,Saved my screen!,5
B079N5B3G4,"
Very easy to apply, powerful mobile screen! This makes it not easy to screw up! This is a simple application and tool that makes it a very nice cover! I think anyone who uses a cell phone should in...
",10,35,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector iPhone8 Plus Green98
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 13:35:58,The best phone protection,5
B079NQC39C,"
I love this product and I'm currently using it, even if you misplace the protector you can still take it off and back on without being able to notice it. I really love this product and I would recc...
",10,35,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector IPHONE SE Natural113
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 11:01:15,So far so good,5
B079NDZTDN,"
These are not the cheap ones you’d think you’d get for the price. These are very good quality screen protectors. Great products guys!!!
",10,35,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector IPHONE SE Multi-Colored113
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 10:20:08,very suitable,5
B079NCNRST,"
Perfectly protect my screen. Looks great. Good price, especially no bubble. At first there were some little ones, but when they woke up the next morning, they disappeared. Great product Will advise
",10,35,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector iPhone 8 Brown111
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 03:58:53,Excellent mobile screen protection,5
B079NK11CP,"
Best screen protector I have ever bought. I've paid twice the price for high quality life time guarantee screen protectors that were not of this caliber. says this screen protector is smudge resist...
",10,35,"
[Scratch-resistant][9H Hardness][Bubble-Free] Tempered Glass Screen Protector IPHONE SE Orange113
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-10 03:58:41,very suitable,5
B079QW98YR,"
THIS PRODUCT IS SUPERB. Its quality and durability are incredible, unlike the one I have bought previously, it wouldn't give me a message saying that ""this accessory was not supported for an ip...
",10,35,"
Blaulock [2 Packs] Oppo Neo 5 Screen Protector, Oppo Neo 5s Tempered Glass Screen Scratch HD Clear Screen Protector Screen Guard for 4.5'' Oppo Neo 5, Oppo Neo 5s (Oppo 1 A50)
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-09 13:29:51,Great,5
B079MC1VKY,"
My phone slipped out of my pocket face down on concrete. Picked it up to a spiderwebed edge on my screen. HUGE relief when I discovered it was the screen protector not my phone!!! I'm ordering a re...
",10,35,"
VAGAVO Tempered Glass Screen Protector [Easy to Install][Case Friendly][Anti-Fingerprint]
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-09 12:23:36,High quaility screen protector,5
B079M51KNT,"
I've dropped my phone with a cheap case a bunch and its survived. I cracked this this tempered cover just barely and I know it would have been the screen if this product was not on my phone. I'd de...
",10,35,"
VAGAVO Tempered Glass Screen Protector [Easy to Install][Case Friendly][Anti-Fingerprint]
",AFO6FXV7PFKWK736SHC6KYTE6XBA,Rikki Lehman,/gp/profile/amzn1.account.AFO6FXV7PFKWK736SHC6KYTE6XBA,2018-02-09 11:02:04,Five Stars,5
